_id,name,email,arr,licenses_purchased,licenses_used,renewal_date,csm_agent,account_executive,health_score,login_count,main_feature_usage_count,total_ticket_count,open_ticket_count,escalated_ticket,closed_ticket_count,organization,__v,createdat,updatedat,crm_cust_id,help_desk_cust_id,batch_id,rcd_ins_ts,rcd_upd_ts,renewal_duration,stage
66fc1d0de022f0f3a73f0045,Marriott,emma.davis@marriott.com,161633,68,43,2025-03-01T00:00:00.000Z,bhattachas@hotmail.com,account3@company.com,8,183,25,45,9,5,80,66158fe71bfe10b58cb23eea,0,2024-10-01T16:02:21.851Z,2024-10-01T16:02:21.851Z,,,1,2025-02-15 9:50:29,2025-02-15 9:50:29,2,Renewal
67e560db569a094a716437c3,Parker Palm Springs,,,,,2025-03-27T00:00:00.000Z,,,,,,,,,,66158fe71bfe10b58cb23eea,0,2025-03-27T14:29:47.000Z,2025-03-27T14:29:47.000Z,31459247029,,2,2025-03-27 14:32:44,2025-03-27 14:32:44,1,Renewal
66fc1d0de022f0f3a73f0044,HolidayInn,sophia.clark@holidayinnbook.com,216217,35,35,2025-03-13T00:00:00.000Z,bhattachas@hotmail.com,account2@company.com,6,279,292,23,5,2,20,66158fe71bfe10b58cb23eea,0,2024-10-01T16:02:21.851Z,2024-10-01T16:02:21.851Z,,,1,2025-02-15 9:50:29,2025-02-15 9:50:29,5,Subscribed
67e4fd4e569a094a71643781,Holiday Inn,,,,,2025-03-27T00:00:00.000Z,,,,,,,,,,66158fe71bfe10b58cb23eea,0,2025-03-27T07:24:58.000Z,2025-03-27T07:24:58.000Z,26138223441,,2,2025-03-27 14:32:44,2025-03-27 14:32:44,2,Subscribed
67e4fd4d569a094a71643778,AC Hotels,,,,,2025-03-27T00:00:00.000Z,,,,,,,,,,66158fe71bfe10b58cb23eea,0,2025-03-27T07:24:58.000Z,2025-03-27T07:24:58.000Z,26872625295,,2,2025-03-27 14:32:44,2025-03-27 14:32:44,4,Renewal
67e4fd4c569a094a71643772,Fairmont,,,,,2025-03-27T00:00:00.000Z,,,,,,,,,,66158fe71bfe10b58cb23eea,0,2025-03-27T07:24:58.000Z,2025-03-27T07:24:58.000Z,26132022101,,2,2025-03-27 14:32:44,2025-03-27 14:32:44,2,Activated
66fc1d0de022f0f3a73f004b,Best Western,sara.wilson@bestwestern.com,427703,79,37,2025-06-17T00:00:00.000Z,sarah@test.com,account9@company.com,2,75,208,20,7,4,29,66158fe71bfe10b58cb23eea,0,2024-10-01T16:02:21.851Z,2024-10-01T16:02:21.851Z,,,1,2025-02-15 9:50:29,2025-02-15 9:50:29,5,Activated
66fc1d0de022f0f3a73f0049,Four Seasons,alice.johnson@fourseasons.com,248662,46,21,2025-08-28T00:00:00.000Z,jim@test.com,account7@company.com,6,224,60,28,2,2,76,66158fe71bfe10b58cb23eea,0,2024-10-01T16:02:21.851Z,2024-10-01T16:02:21.851Z,,,1,2025-02-15 9:50:29,2025-02-15 9:50:29,6,Onboarding
67df6e1b3f76c1e79c6e02a6,New Customer test,newcustomer@example.com,,,,,,,,,,,,,,66158fe71bfe10b58cb23eea,0,2025-03-23T02:12:45.045Z,2025-03-23T02:12:45.045Z,,,2,2025-03-27 14:32:44,2025-03-27 14:32:44,2,Activated
66fc1d0de022f0f3a73f0048,Ritz-Carlton,robert.lee@ritz.com,462187,25,4,2025-02-04T00:00:00.000Z,sarah@test.com,account6@company.com,8,212,134,66,6,5,77,66158fe71bfe10b58cb23eea,0,2024-10-01T16:02:21.851Z,2024-10-01T16:02:21.851Z,,,1,2025-02-15 9:50:29,2025-02-15 9:50:29,2,Onboarding
66fc1d0de022f0f3a73f0046,Hyatt,john.doe@hyatt.com,419571,22,18,2024-11-15T00:00:00.000Z,bhattachas@hotmail.com,account4@company.com,5,121,198,87,4,2,65,66158fe71bfe10b58cb23eea,0,2024-10-01T16:02:21.851Z,2024-11-01T16:02:21.851Z,,,1,2025-02-15 9:50:29,2025-02-15 9:50:29,10,Activated
66fc1d0de022f0f3a73f004a,Intercontinental,mark.brown@intercontinental.com,308017,100,89,2025-06-27T00:00:00.000Z,david@test.com,account8@company.com,6,179,39,33,9,0,11,66158fe71bfe10b58cb23eea,0,2024-10-01T16:02:21.851Z,2024-10-01T16:02:21.851Z,,,1,2025-02-15 9:50:29,2025-02-15 9:50:29,8,Subscribed
67e4fd4b569a094a71643769,Hamilton,,,,,2025-03-27T00:00:00.000Z,,,,,,,,,,66158fe71bfe10b58cb23eea,0,2025-03-27T07:24:58.000Z,2025-03-27T07:24:58.000Z,29199877758,,2,2025-03-27 14:32:44,2025-03-27 14:32:44,3,Renewal
66fc1d0de022f0f3a73f0043,Hilton,chris.evans@hiltonbook.com,321373,68,48,2025-08-25T00:00:00.000Z,bhattachas@hotmail.com,account1@company.com,4,226,61,59,5,4,66,66158fe71bfe10b58cb23eea,0,2024-10-01T16:02:21.851Z,2024-10-01T16:02:21.851Z,23951489207,34572029242643,1,2025-02-15 9:50:29,2025-02-15 9:50:29,10,Renewal
67e4fd4b569a094a7164376c,Aloft Hotels,,,,,2025-03-27T00:00:00.000Z,,,,,,,,,,66158fe71bfe10b58cb23eea,0,2025-03-27T07:24:58.000Z,2025-03-27T07:24:58.000Z,29763069864,,2,2025-03-27 14:32:44,2025-03-27 14:32:44,9,Activated
67e4fd4b569a094a71643766,Best Western,,,,,2025-03-27T00:00:00.000Z,,,,,,,,,,66158fe71bfe10b58cb23eea,0,2025-03-27T07:24:58.000Z,2025-03-27T07:24:58.000Z,26880412022,,2,2025-03-27 14:32:44,2025-03-27 14:32:44,9,Activated
66fc1d0de022f0f3a73f0047,Sheraton,jane.smith@sheraton.com,108719,40,17,2025-03-26T00:00:00.000Z,bhattachas@hotmail.com,account5@company.com,9,82,224,95,6,0,62,66158fe71bfe10b58cb23eea,0,2024-10-01T16:02:21.851Z,2024-10-01T16:02:21.851Z,,,1,2025-02-15 9:50:29,2025-02-15 9:50:29,6,Activated
66fc1d0de022f0f3a73f004c,Radisson,david.turner@radisson.com,370529,54,25,2025-08-31T00:00:00.000Z,jim@test.com,account10@company.com,8,336,148,83,6,5,99,66158fe71bfe10b58cb23eea,0,2024-10-01T16:02:21.851Z,2024-10-01T16:02:21.851Z,,,1,2025-02-15 9:50:29,2025-02-15 9:50:29,8,Subscribed
67e4fd4e569a094a7164377b,Omni Hotels,,,,,2025-03-27T00:00:00.000Z,,,,,,,,,,66158fe71bfe10b58cb23eea,0,2025-03-27T07:24:58.000Z,2025-03-27T07:24:58.000Z,26149095846,,2,2025-03-27 14:32:44,2025-03-27 14:32:44,8,Activated
67e4fd4f569a094a71643784,Ritz Carlton,,,,,2025-03-27T00:00:00.000Z,,,,,,,,,,66158fe71bfe10b58cb23eea,0,2025-03-27T07:24:58.000Z,2025-03-27T07:24:58.000Z,26130717236,,2,2025-03-27 14:32:44,2025-03-27 14:32:44,8,Renewal
67e4fd4d569a094a71643775,Red Lion Hotels,,,,,2025-03-27T00:00:00.000Z,,,,,,,,,,66158fe71bfe10b58cb23eea,0,2025-03-27T07:24:58.000Z,2025-03-27T07:24:58.000Z,29821266439,,2,2025-03-27 14:32:44,2025-03-27 14:32:44,1,Activated
67e5472f569a094a7164378d,Motel 6,,,,,2025-03-27T00:00:00.000Z,,,,,,,,,,66158fe71bfe10b58cb23eea,0,2025-03-27T12:40:15.000Z,2025-03-27T12:40:15.000Z,31449916245,,2,2025-03-27 14:32:44,2025-03-27 14:32:44,1,Renewal
